,Video ID,Subject ID,Attention (Proprietary measure of mental focus),Mediation (Proprietary measure of calmness),Raw (Raw EEG signal),Delta (1-3 Hz of power spectrum),Theta (4-7 Hz of power spectrum),Alpha 1 (Lower 8-11 Hz of power spectrum),Alpha 2 (Higher 8-11 Hz of power spectrum),Beta 1 (Lower 12-29 Hz of power spectrum),Beta 2 (Higher 12-29 Hz of power spectrum),Gamma 1 (Lower 30-100 Hz of power spectrum),Gamma 2 (Higher 30-100 Hz of power spectrum),predefined label (whether the subject is expected to be confused),Error,Difference Between predicted and actual,user-defined label (whether the subject is actually confused)
0,0,0,1.0,0.91,0.583394383394,0.686801548352,0.34304612863,0.406035097554,0.230685871232,0.17509587694,0.104083769761,0.112603009878,0.0623878526684,0,0,0,0
1,0,1,0.9,0.88,0.664957264957,0.654778814973,0.207952031146,0.255343066514,0.124051170653,0.0966776708576,0.0310714873946,0.0452896190377,0.0322643097955,0,0,0,0
2,0,2,0.91,0.96,0.525274725275,0.116044160067,0.0533651840141,0.0175232288991,0.0299367397934,0.0180421905364,0.0100269423174,0.00563445973521,0.00770928296177,0,0,0,0
3,0,3,0.87,0.88,0.587545787546,0.785137536688,0.678660542559,0.38323139553,0.667319952287,0.354755449416,0.269492459737,0.214708200993,0.0298075460921,0,0,0,0
4,0,4,1.0,0.87,0.811721611722,0.594862034476,0.35553904285,0.14209027609,0.273163531518,0.787610685772,0.0901531390869,0.151931173812,0.150280206066,0,0,0,0
5,0,5,0.9,0.78,0.628327228327,0.681356586361,0.429439936698,0.399436331027,0.357503262331,0.154642129662,0.174344690273,0.0620976879653,0.0105139398345,0,0,0,0
6,0,6,0.0,0.0,1.0,0.772625097277,1.0,0.795228741424,0.840550451318,1.0,0.510520753121,0.308307456762,0.372063214192,0,1,-1,1
7,0,7,0.88,0.7,0.547741147741,0.65337803323,0.299479184849,0.155041085351,0.0930179730576,0.0746374470277,0.0717736529297,0.0631278501195,0.053751349106,0,1,-1,1
8,0,8,0.9,0.81,0.63956043956,0.747355529405,0.388887836065,0.347487103572,0.24024717994,0.38100442509,0.05811651747,0.068772449246,0.0652221806003,0,0,0,0
9,0,9,0.9,0.84,0.614896214896,0.752241742691,0.853660085412,0.615935729182,1.0,0.515444733207,0.370863764741,0.182323492209,0.0401137885121,0,1,-1,1
10,1,0,0.77,0.81,0.637362637363,0.813377932327,0.274720433808,0.222152146825,0.218082998414,0.130208143101,0.0797670063882,0.0715034942877,0.0623084825849,0,1,-1,1
11,1,1,0.78,0.88,0.607814407814,0.708902014649,0.472581983087,0.175144694745,0.150313055911,0.0842602608227,0.0525189820873,0.0105616969285,0.0146085460068,0,1,-1,1
12,1,2,0.8,0.88,0.524542124542,0.231818153153,0.0824520369641,0.0222190104332,0.0601547234714,0.0328187118073,0.0224369396007,0.00754877680918,0.00484231686466,0,1,-1,1
13,1,3,0.97,0.88,0.568986568987,0.57447943666,0.506214706171,0.126891944468,0.149286417395,0.0807688885767,0.033239392792,0.0154985665436,0.011311349551,0,0,0,0
14,1,4,0.91,0.8,0.712332112332,0.667616413338,0.520117960559,0.216952698377,0.267058769155,0.119630071878,0.0799207714753,0.053898976175,0.0491745882213,0,1,-1,1
15,1,5,0.88,0.83,0.582173382173,0.87499593236,0.624860819507,0.42271304198,0.395356132444,0.235645149961,0.110512730594,0.0367958509611,0.0210174947983,0,1,-1,1
16,1,6,0.0,0.0,1.0,0.803516206866,0.563453504822,0.33623489273,0.558947636519,0.253757580015,1.0,0.91078653793,0.751467790211,0,0,0,0
17,1,7,1.0,0.84,0.62735042735,0.625412849707,0.3868221964,0.179184249387,0.119694840551,0.0685762449954,0.0850509339254,0.0551740046286,0.046904752191,0,1,-1,1
18,1,8,0.88,1.0,0.684004884005,0.727878533329,0.493271959266,0.269668375484,0.247503468838,0.315856805039,0.126980181321,0.0233930965954,0.0287386461837,0,0,0,0
19,1,9,1.0,0.78,0.85177045177,0.845834799576,0.493006647749,0.205501210625,0.477000445467,0.0967029570837,0.658490780476,0.0345418642792,0.0254088115628,0,0,0,0
20,2,0,0.88,0.77,0.600976800977,0.998365880761,0.319663805757,0.292199805395,0.121129577711,0.207167240289,0.0883766357293,0.0832525139353,0.0491449171621,0,1,-1,1
21,2,1,0.64,1.0,0.695726495726,0.548588812665,0.314798763874,0.260396524552,0.171822312867,0.186957926529,0.0766558463856,0.0171092088486,0.0303623948995,0,1,-1,1
22,2,2,1.0,1.0,0.520146520147,0.210012070486,0.075951904807,0.0224642743218,0.0350591153011,0.0318494064761,0.0106748220914,0.00446538792044,0.00467764248599,0,0,0,0
23,2,3,0.88,0.77,0.557753357753,0.644765735461,0.203457693951,0.117426656243,0.0862081342418,0.0489354030578,0.0417092356903,0.0110316577144,0.0148058585506,0,0,0,0
24,2,4,0.81,1.0,0.82905982906,0.620083673565,0.693223751033,0.305738226056,0.174896328194,0.308217555197,0.0636368664255,0.0598497849182,0.0469292308149,0,1,-1,1
25,2,5,0.78,0.9,0.564590964591,0.987192672446,0.561519855974,0.424367843276,0.351231327029,0.2088323851,0.105991550821,0.0551816091721,0.0442981496386,0,1,-1,1
26,2,6,0.0,0.0,1.0,0.626354524162,0.692059439089,0.196532289794,0.305993346517,0.354404251832,0.832190022044,1.0,1.0,0,0,0,0
27,2,7,1.0,0.78,0.592185592186,0.564844994532,0.219662974581,0.078161805551,0.072887401159,0.0722474304043,0.0588306438624,0.0401327246319,0.0280146723388,0,0,0,0
28,2,8,1.0,0.87,0.682783882784,0.811375013716,0.479246688178,0.228086656988,0.192544873642,0.11640748285,0.075416609182,0.0447816355345,0.0421744435749,0,0,0,0
29,2,9,0.7,1.0,0.644932844933,0.926823343335,0.344155582929,0.265333190263,0.329032727544,0.109947320362,0.215849108436,0.0540449834094,0.0458848095303,0,0,0,0
