,Video ID,Subject ID,Attention (Proprietary measure of mental focus),Mediation (Proprietary measure of calmness),Raw (Raw EEG signal),Delta (1-3 Hz of power spectrum),Theta (4-7 Hz of power spectrum),Alpha 1 (Lower 8-11 Hz of power spectrum),Alpha 2 (Higher 8-11 Hz of power spectrum),Beta 1 (Lower 12-29 Hz of power spectrum),Beta 2 (Higher 12-29 Hz of power spectrum),Gamma 1 (Lower 30-100 Hz of power spectrum),Gamma 2 (Higher 30-100 Hz of power spectrum),predefined label (whether the subject is expected to be confused),Error,Difference Between predicted and actual,user-defined label (whether the subject is actually confused),Confusion Label
0,0,0,0.552569444,0.538263889,0.51159612,0.137194147,0.041541729,0.026783183,0.025443032,0.018829615,0.024472816,0.020648001,0.012473018,0,0,0,0,Not Confused
1,0,1,0.524571429,0.625214286,0.509787197,0.066964703,0.027695934,0.015859142,0.016884116,0.018082963,0.005680743,0.002826605,0.002910895,0,0,0,0,Not Confused
2,0,2,0.610071429,0.533428571,0.507704518,0.003479691,0.004667158,0.004358252,0.006385486,0.005146503,0.003724297,0.0016642,0.002084026,0,0,0,0,Not Confused
3,0,3,0.338142857,0.4765,0.506718995,0.210173518,0.079368256,0.044722942,0.051795325,0.021911465,0.023427353,0.012508934,0.002610041,0,0,0,0,Not Confused
4,0,4,0.543571429,0.5165,0.514812489,0.058319666,0.026188657,0.012646862,0.014991008,0.018965934,0.008388537,0.006167125,0.006799881,0,0,0,0,Not Confused
5,0,5,0.489305556,0.494930556,0.509462759,0.11929013,0.056660378,0.023177199,0.028525276,0.012903793,0.013170884,0.006919328,0.001573128,0,0,0,0,Not Confused
6,0,6,0,0,0.589900576,0.203595882,0.133517672,0.082424361,0.138693293,0.075863327,0.068231234,0.037076857,0.058669523,0,1,-1,1,Confused
7,0,7,0.463642857,0.436428571,0.507854526,0.151087286,0.042080772,0.01992803,0.01944819,0.017891256,0.02099147,0.013230153,0.013776654,0,1,-1,1,Confused
8,0,8,0.506928571,0.4975,0.505627071,0.199689452,0.070405246,0.030794904,0.027246836,0.021759888,0.011848121,0.007273185,0.008119236,0,0,0,0,Not Confused
9,0,9,0.35,0.578472222,0.505226564,0.254983003,0.077435936,0.037679537,0.081296104,0.023558841,0.037904048,0.0184757,0.003571958,0,1,-1,1,Confused
10,1,0,0.436214286,0.486214286,0.507155067,0.186490716,0.053543464,0.025487027,0.024659912,0.020748104,0.022735796,0.018635035,0.010768671,0,1,-1,1,Confused
11,1,1,0.400985915,0.579225352,0.506423154,0.120629566,0.047613003,0.024631394,0.022517772,0.019092776,0.007833853,0.002622893,0.002714907,0,1,-1,1,Confused
12,1,2,0.567816901,0.600774648,0.507712944,0.009459863,0.005943286,0.005768749,0.009096909,0.005743891,0.004347264,0.001769531,0.001849703,0,1,-1,1,Confused
13,1,3,0.624577465,0.552183099,0.507215945,0.133468603,0.050221424,0.025681708,0.021133208,0.015506597,0.007988089,0.003939129,0.003767441,0,0,0,0,Not Confused
14,1,4,0.425633803,0.431056338,0.511013087,0.10650047,0.044755507,0.023275817,0.024059669,0.018361474,0.012789171,0.008811013,0.010438921,0,1,-1,1,Confused
15,1,5,0.5175,0.489,0.508337694,0.216850356,0.084135932,0.03943945,0.033719196,0.032023875,0.014337435,0.006195338,0.003627981,0,1,-1,1,Confused
16,1,6,0,0,0.559980395,0.150032187,0.076916842,0.030450407,0.045355112,0.045203376,0.167562544,0.146001047,0.056706033,0,0,0,0,Not Confused
17,1,7,0.432183099,0.519577465,0.510101635,0.208265319,0.057101547,0.028299064,0.023854505,0.015931107,0.015257211,0.01132108,0.011868648,0,1,-1,1,Confused
18,1,8,0.500492958,0.64415493,0.512265043,0.152993585,0.05350282,0.026925854,0.026040606,0.0175001,0.011000046,0.005822513,0.006099315,0,0,0,0,Not Confused
19,1,9,0.580571429,0.411142857,0.508346415,0.205062507,0.033239959,0.028082767,0.039100149,0.014153784,0.04436961,0.007570732,0.002148322,0,0,0,0,Not Confused
20,2,0,0.439788732,0.473169014,0.503334537,0.174972872,0.04980405,0.022257605,0.021305298,0.020496208,0.022149731,0.01719026,0.010788282,0,1,-1,1,Confused
21,2,1,0.347213115,0.538278689,0.5135371,0.156460522,0.050942062,0.028346623,0.02361512,0.018677724,0.008629013,0.002644844,0.002698601,0,1,-1,1,Confused
22,2,2,0.608032787,0.661885246,0.506537361,0.006864502,0.005754052,0.004900701,0.008020875,0.005547586,0.00366776,0.001478797,0.001593397,0,0,0,0,Not Confused
23,2,3,0.622068966,0.513017241,0.509005937,0.165262686,0.044197348,0.020098028,0.019609682,0.014416863,0.008685794,0.003848463,0.003483632,0,0,0,0,Not Confused
24,2,4,0.473934426,0.625409836,0.507688304,0.110254526,0.04287422,0.020684621,0.01838675,0.018586136,0.008184157,0.004989582,0.006288945,0,1,-1,1,Confused
25,2,5,0.482394366,0.598521127,0.50792103,0.213474621,0.091974383,0.050358765,0.047439899,0.031203902,0.017463782,0.007910675,0.004310186,0,1,-1,1,Confused
26,2,6,0,0,0.564580956,0.147348644,0.074856324,0.027863748,0.039049785,0.044798334,0.167826004,0.122455564,0.061529131,0,0,0,0,Not Confused
27,2,7,0.560737705,0.487786885,0.507924498,0.060359903,0.022110149,0.011309111,0.014543417,0.016569233,0.014612451,0.008267144,0.008847843,0,0,0,0,Not Confused
28,2,8,0.529180328,0.499262295,0.510074261,0.155958721,0.056487181,0.027254178,0.024058636,0.014805477,0.00945332,0.005844948,0.004907879,0,0,0,0,Not Confused
29,2,9,0.397746479,0.566056338,0.506043096,0.213696842,0.053622041,0.03659448,0.043607774,0.016262466,0.020073462,0.010967101,0.002418296,0,0,0,0,Not Confused
30,3,0,0.51057377,0.518442623,0.508599051,0.151448821,0.054071804,0.024355054,0.025842478,0.016128191,0.026562174,0.021007406,0.01228132,0,0,0,0,Not Confused
31,3,1,0.159051724,0.355603448,0.508866995,0.212874819,0.093511289,0.049427407,0.039014993,0.026340327,0.016250237,0.006634955,0.00247479,0,1,-1,1,Confused
32,3,2,0.425,0.629482759,0.508915414,0.00422973,0.00508794,0.004842282,0.006292552,0.005484188,0.003151493,0.00131011,0.001312548,0,0,0,0,Not Confused
33,3,3,0,0,0.510905915,0.171323057,0.044007396,0.031282957,0.023091759,0.013566587,0.03119364,0.007031312,0.001403091,0,0,0,0,Not Confused
34,3,4,0.401206897,0.436206897,0.50530504,0.118550627,0.041781626,0.018664874,0.018547838,0.016749485,0.010187361,0.005869637,0.006669127,0,1,-1,1,Confused
35,3,5,0.37795082,0.529098361,0.50859705,0.243427598,0.094533903,0.041213206,0.027766409,0.022692737,0.010424397,0.004375189,0.004075618,0,1,-1,1,Confused
36,3,6,0,0,0.586895289,0.215690183,0.113993494,0.091370779,0.128858376,0.090634166,0.079052581,0.047132991,0.065833801,0,1,-1,1,Confused
37,3,7,0.205086207,0.579655172,0.510538504,0.229862454,0.078304518,0.040152,0.029873058,0.020157595,0.013678554,0.009884643,0.008924198,0,1,-1,1,Confused
38,3,8,0.53637931,0.543103448,0.507224959,0.170708053,0.05776829,0.024453834,0.019693193,0.017411819,0.01106658,0.005960485,0.006007168,0,0,0,0,Not Confused
39,3,9,0.426557377,0.622295082,0.508128666,0.228455593,0.059166177,0.03767103,0.059828398,0.015583347,0.034910473,0.013543999,0.002475886,0,1,-1,1,Confused
40,4,0,0.552241379,0.474741379,0.507450213,0.137777597,0.042182852,0.016870538,0.016732095,0.0149403,0.022138426,0.01826298,0.010941689,0,0,0,0,Not Confused
41,4,1,0.468680556,0.598611111,0.507851716,0.101312981,0.046615006,0.023836584,0.025944332,0.023026796,0.009717462,0.005101339,0.005453633,0,1,-1,1,Confused
42,4,2,0.652708333,0.609930556,0.508350292,0.007313372,0.006169922,0.006270516,0.01117758,0.011990146,0.010418712,0.00528263,0.005432786,0,1,-1,1,Confused
43,4,3,0.343680556,0.525902778,0.508716592,0.24114034,0.10801822,0.053707875,0.043859521,0.031175218,0.015108905,0.006794899,0.005638269,0,1,-1,1,Confused
44,4,4,0.499791667,0.576041667,0.509944377,0.107357809,0.041448905,0.020456921,0.025690335,0.016760189,0.008990602,0.00579919,0.007088632,0,0,0,0,Not Confused
45,4,5,0.479137931,0.565948276,0.510989011,0.145453692,0.057139972,0.039520932,0.034384345,0.016305708,0.0107353,0.00630942,0.001941018,0,0,0,0,Not Confused
46,4,6,0,0,0.548763736,0.18485595,0.084802966,0.040589906,0.05052406,0.053164596,0.181012056,0.143513391,0.072578357,0,1,-1,1,Confused
47,4,7,0.504236111,0.473611111,0.507078415,0.116392923,0.037458545,0.017311705,0.018363968,0.01645602,0.017818935,0.010705951,0.012077769,0,1,-1,1,Confused
48,4,8,0.343680556,0.525902778,0.508716592,0.24114034,0.10801822,0.053707875,0.043859521,0.031175218,0.015108905,0.006794899,0.005638269,0,1,-1,1,Confused
49,4,9,0.389137931,0.504224138,0.511538462,0.217308297,0.052909229,0.041915489,0.045977992,0.023624496,0.031657364,0.01335634,0.002800814,0,1,-1,1,Confused
50,5,0,0.498130081,0.410487805,0.509598261,0.235799786,0.093913133,0.051458765,0.040080595,0.026802021,0.025192837,0.027411061,0.016804373,1,0,0,1,Confused
51,5,1,0.636504065,0.581869919,0.508750509,0.081784545,0.030608106,0.018160204,0.021752925,0.0177322,0.00879147,0.004336799,0.005302357,1,1,1,0,Not Confused
52,5,2,0.770243902,0.648861789,0.510864925,0.024340785,0.012800766,0.009586668,0.011329512,0.01426517,0.007841318,0.004276927,0.004808105,1,0,0,1,Confused
53,5,3,0.474634146,0.52300813,0.507543405,0.183098876,0.063719772,0.025551811,0.022014341,0.020051482,0.008721661,0.004096912,0.003808781,1,1,1,0,Not Confused
